target_id,concept,held_out,multi_step,search_budget_label,coverage_classification,input_composition_maturity,result,failure_taxonomy,result_count,honest_zero,requested_evidence_failure_count,execution_node_cache,document_hash,terminal_provider,message
atlas_scale_separation_from_marker_frontier_gap_v0,separation_from_marker,True,False,max_depth=4.max_branching=6,partial_with_typed_gap,handwired,not_compiler_reachable,missing_primitive,0,False,,,,,No allowed catalog provider exposes any required target field.
atlas_scale_player_control_state_frontier_gap_v0,player_control_state,True,False,max_depth=4.max_branching=6,partial_with_typed_gap,handwired,not_compiler_reachable,missing_constraint,0,False,,,,,Target requires composition constraints the search cannot yet enforce.
atlas_scale_organized_unorganized_state_frontier_gap_v0,organized_unorganized_state,True,False,max_depth=4.max_branching=6,partial_with_typed_gap,handwired,not_compiler_reachable,missing_constraint,0,False,,,,,Target requires composition constraints the search cannot yet enforce.
atlas_scale_line_break_mode_frontier_gap_v0,line_break_mode,True,False,max_depth=4.max_branching=6,partial_with_typed_gap,handwired,not_compiler_reachable,missing_primitive,0,False,,,,,No allowed catalog provider exposes any required target field.
atlas_scale_transition_open_space_frontier_gap_v0,transition_open_space,True,False,max_depth=4.max_branching=6,partial_with_typed_gap,handwired,not_compiler_reachable,missing_primitive,0,False,,,,,No allowed catalog provider exposes any required target field.
atlas_scale_rest_defense_shape_frontier_gap_v0,rest_defense_shape,True,False,max_depth=4.max_branching=6,partial_with_typed_gap,handwired,not_compiler_reachable,missing_primitive,0,False,,,,,No allowed catalog provider exposes any required target field.
atlas_scale_stoppage_time_state_frontier_gap_v0,stoppage_time_state,True,False,max_depth=4.max_branching=6,partial_with_typed_gap,handwired,not_compiler_reachable,missing_primitive,0,False,,,,,No allowed catalog provider exposes any required target field.
atlas_scale_set_piece_run_onset_frontier_gap_v0,set_piece_run_onset,True,False,max_depth=4.max_branching=6,partial_with_typed_gap,handwired,not_compiler_reachable,missing_constraint,0,False,,,,,Target requires composition constraints the search cannot yet enforce.
atlas_scale_carry_pressure_profile_frontier_gap_v0,carry_pressure_profile,True,False,max_depth=4.max_branching=6,partial_with_typed_gap,handwired,not_compiler_reachable,missing_constraint,0,False,,,,,Target requires composition constraints the search cannot yet enforce.
atlas_scale_outlet_denial_frontier_gap_v0,outlet_denial,True,False,max_depth=4.max_branching=6,partial_with_typed_gap,handwired,not_compiler_reachable,missing_primitive,0,False,,,,,No allowed catalog provider exposes any required target field.
atlas_scale_receive_and_turn_candidate_frontier_gap_v0,receive_and_turn_candidate,True,False,max_depth=4.max_branching=6,partial_with_typed_gap,handwired,not_compiler_reachable,missing_primitive,0,False,,,,,No allowed catalog provider exposes any required target field.
atlas_scale_final_third_phase_candidate_frontier_gap_v0,final_third_phase_candidate,True,False,max_depth=4.max_branching=6,partial_with_typed_gap,handwired,not_compiler_reachable,missing_primitive,0,False,,,,,No allowed catalog provider exposes any required target field.
atlas_scale_foul_won_within_frontier_gap_v0,foul_won_within,True,False,max_depth=4.max_branching=6,partial_with_typed_gap,handwired,not_compiler_reachable,missing_primitive,0,False,,,,,No allowed catalog provider exposes any required target field.
atlas_scale_weak_side_balance_frontier_gap_v0,weak_side_balance,True,False,max_depth=4.max_branching=6,partial_with_typed_gap,handwired,not_compiler_reachable,missing_constraint,0,False,,,,,Target requires composition constraints the search cannot yet enforce.
atlas_scale_inter_unit_gap_frontier_gap_v0,inter_unit_gap,True,False,max_depth=4.max_branching=6,partial_with_typed_gap,handwired,not_compiler_reachable,missing_constraint,0,False,,,,,Target requires composition constraints the search cannot yet enforce.
atlas_scale_in_contest_phase_distribution_frontier_gap_v0,in_contest_phase_distribution,True,False,max_depth=4.max_branching=6,partial_with_typed_gap,handwired,not_compiler_reachable,missing_constraint,0,False,,,,,Target requires composition constraints the search cannot yet enforce.
atlas_scale_high_press_phase_candidate_frontier_gap_v0,high_press_phase_candidate,True,False,max_depth=4.max_branching=6,partial_with_typed_gap,handwired,not_compiler_reachable,missing_constraint,0,False,,,,,Target requires composition constraints the search cannot yet enforce.
atlas_scale_progression_phase_candidate_frontier_gap_v0,progression_phase_candidate,True,False,max_depth=4.max_branching=6,partial_with_typed_gap,handwired,not_compiler_reachable,missing_primitive,0,False,,,,,No allowed catalog provider exposes any required target field.
atlas_scale_graph_edge_closing_frontier_gap_v0,graph_edge_closing,True,False,max_depth=4.max_branching=6,partial_with_typed_gap,handwired,not_compiler_reachable,missing_primitive,0,False,,,,,No allowed catalog provider exposes any required target field.
atlas_scale_shot_speed_profile_frontier_gap_v0,shot_speed_profile,True,False,max_depth=4.max_branching=6,partial_with_typed_gap,handwired,not_compiler_reachable,missing_primitive,0,False,,,,,No allowed catalog provider exposes any required target field.
atlas_scale_team_shape_skew_frontier_gap_v0,team_shape_skew,True,False,max_depth=4.max_branching=6,partial_with_typed_gap,handwired,not_compiler_reachable,missing_constraint,0,False,,,,,Target requires composition constraints the search cannot yet enforce.
atlas_scale_set_piece_clearance_frontier_gap_v0,set_piece_clearance,True,False,max_depth=4.max_branching=6,partial_with_typed_gap,handwired,not_compiler_reachable,missing_constraint,0,False,,,,,Target requires composition constraints the search cannot yet enforce.
atlas_scale_delivery_target_region_frontier_gap_v0,delivery_target_region,True,False,max_depth=4.max_branching=6,partial_with_typed_gap,handwired,not_compiler_reachable,missing_constraint,0,False,,,,,Target requires composition constraints the search cannot yet enforce.
atlas_scale_path_length_frontier_gap_v0,path_length,True,False,max_depth=4.max_branching=6,partial_with_typed_gap,handwired,not_compiler_reachable,missing_primitive,0,False,,,,,No allowed catalog provider exposes any required target field.
